Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"C1","4.7uF","C_0603_1608Metric",57.200000,-114.700000,0.000000,top
"C2","0.1uF","C_0603_1608Metric",57.200000,-116.300000,0.000000,top
"C3","220uF","CP_220_Honor_Elec_HV1E227M0810PZ",47.700000,-100.400000,-90.000000,top
"C4","22uF","C_0805_2012Metric",52.050000,-91.000000,-90.000000,top
"C5","0.1uF","C_0603_1608Metric",62.362500,-89.750000,90.000000,top
"C6","0.1uF","C_0603_1608Metric",54.200000,-90.800000,-90.000000,top
"C7","0.1uF","C_0603_1608Metric",53.800000,-96.275000,-90.000000,top
"C8","22uF","C_0603_1608Metric",56.400000,-106.900000,-90.000000,top
"C9","22uF","C_0603_1608Metric",58.100000,-106.900000,-90.000000,top
"C10","4.7uF","C_0603_1608Metric",48.600000,-108.400000,90.000000,top
"C11","4.7uF","C_0603_1608Metric",54.800000,-110.000000,-90.000000,top
"C12","0.1uF","C_0603_1608Metric",51.300000,-116.700000,0.000000,top
"D1","MBR0540","D_SOD-123",48.100000,-90.800000,90.000000,top
"IC1","74HCT1G125GV,125","SOT95P275X110-5N",52.600000,-114.000000,180.000000,top
"L1","22uH","L_Chilisin_Elec_BPSC00101140220M00",61.500000,-99.300000,0.000000,top
"R2","4k7","R_0603_1608Metric",46.000000,-109.400000,180.000000,top
"R3","1k","R_0603_1608Metric",43.600000,-111.600000,-90.000000,top
"U1","STM32C011F4Px","TSSOP-20_4.4x6.5mm_P0.65mm",55.450000,-121.600000,-90.000000,top
"U2","AP63205WU","TSOT-23-6",58.800000,-90.050000,0.000000,top
"U3","AP2112K-3.3","SOT-23-5",51.887500,-110.150000,0.000000,top
