Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","C_0603_1608Metric",57.825000,-115.600000,0.000000,top
"C2","0.1uF","C_0603_1608Metric",57.200000,-117.300000,0.000000,top
"C3","220uF","CP_Elec_A768KS227M1VLAE024",63.250000,-108.900000,0.000000,top
"C4","22uF","C_0805_2012Metric",52.925000,-107.500000,180.000000,top
"C5","0.1uF","C_0805_2012Metric",52.925000,-105.400000,180.000000,top
"C6","22uF","C_0603_1608Metric",56.400000,-105.900000,-90.000000,top
"D1","MBR0540","D_SOD-123",49.000000,-106.300000,90.000000,top
"HS1","Heatsink","Heatsink_DV-T263-201E-TR",56.100000,-96.600000,0.000000,top
"R1","4k7","R_0603_1608Metric",46.400000,-110.900000,180.000000,top
"R2","1k","R_0603_1608Metric",44.000000,-113.100000,-90.000000,top
"U1","BD33FC0FP","TO-252-2",55.972500,-97.960000,90.000000,top
"U2","STM32C011F4Px","TSSOP-20_4.4x6.5mm_P0.65mm",55.425000,-122.137500,-90.000000,top
